jurisdiction;income level;;
Afghanistan;Low income;;
Albania;Upper middle income;;
Algeria;Upper middle income;;
American Samoa;Upper middle income;;
Andorra;High income;;
Angola;Lower middle income;;
Antigua and Barbuda;High income;;
Argentina;Upper middle income;;
Armenia;Lower middle income;;
Aruba;High income;;
Australia;High income;;
Austria;High income;;
Azerbaijan;Upper middle income;;
Bahamas, The;High income;;
Bahrain;High income;;
Bangladesh;Lower middle income;;
Barbados;High income;;
Belarus;Upper middle income;;
Belgium;High income;;
Belize;Upper middle income;;
Benin;Low income;;
Bermuda;High income;;
Bhutan;Lower middle income;;
Bolivia;Lower middle income;;
Bosnia and Herzegovina;Upper middle income;;
Botswana;Upper middle income;;
Brazil;Upper middle income;;
British Virgin Islands;High income;;
Brunei Darussalam;High income;;
Bulgaria;Upper middle income;;
Burkina Faso;Low income;;
Burundi;Low income;;
Cabo Verde;Lower middle income;;
Cambodia;Lower middle income;;
Cameroon;Lower middle income;;
Canada;High income;;
Cayman Islands;High income;;
Central African Republic;Low income;;
Chad;Low income;;
Channel Islands;High income;;
Chile;High income;;
China;Upper middle income;;
Colombia;Upper middle income;;
Comoros;Low income;;
Congo, Dem. Rep.;Low income;;
Congo, Rep.;Lower middle income;;
Costa Rica;Upper middle income;;
Côte d'Ivoire;Lower middle income;;
Croatia;Upper middle income;;
Cuba;Upper middle income;;
Curaçao;High income;;
Cyprus;High income;;
Czech Republic;High income;;
Denmark;High income;;
Djibouti;Lower middle income;;
Dominica;Upper middle income;;
Dominican Republic;Upper middle income;;
Ecuador;Upper middle income;;
Egypt, Arab Rep.;Lower middle income;;
El Salvador;Lower middle income;;
Equatorial Guinea;Upper middle income;;
Eritrea;Low income;;
Estonia;High income;;
Ethiopia;Low income;;
Faroe Islands;High income;;
Fiji;Upper middle income;;
Finland;High income;;
France;High income;;
French Polynesia;High income;;
Gabon;Upper middle income;;
Gambia, The;Low income;;
Georgia;Lower middle income;;
Germany;High income;;
Ghana;Lower middle income;;
Gibraltar;High income;;
Greece;High income;;
Greenland;High income;;
