Countries;preferential regime
Albania ;no
American Samoa ;no
Anguilla ;no
Antigua and Barbuda ;yes
Armenia ;yes
Aruba ;yes
Australia ;no
Bahamas ;no
Bahrain ;no
Barbados ;yes
Belize ;yes
Bermuda ;no
Bosnia and Herzegovina ;no
Botswana ;yes
Brazil ;yes
British Virgin Islands ;no
Cabo Verde;yes
Canada ;no
Cayman Islands ;no
Chile ;yes
China ;yes
Hong Kong ;yes
Macao;yes
Colombia ;yes
Cook Islands ;yes
Costa Rica ;yes
Curaçao ;yes
Dominica ;yes
Faroe Islands ;no
Fiji ;yes
Former Yugoslav Republic of Macedonia ;no
Georgia ;yes
Greenland ;no
Grenada ;yes
Guam ;no
Guernsey ;no
Iceland ;no
India ;yes
Indonesia ;yes
Isle of Man ;no
Israel ;yes
Jamaica ;yes
Japan ;no
Jersey ;no
Jordan ;yes
Korea;yes
Malaysia ;yes
Maldives ;yes
Mauritius ;yes
Mongolia; no
Montenegro ;no
Montserrat ;yes
Morocco ;yes
Namibia ;yes
New Caledonia ;no
Norway ;no
Oman ;no
Panama ;yes
Peru ;yes
Qatar ;no
Saint Kitts and Nevis ;yes
Saint Lucia ;yes
Saint Vincent and the Grenadines ;yes
Samoa ;yes
Saudi Arabia ;no
Serbia ;no
Seychelles ;yes
Singapore ;yes
South Africa ;yes
Swaziland ;no
Taiwan ;yes
Thailand ;yes
Trinidad and Tobago ;yes
Tunisia ;yes
Turkey ;yes
Turks and Caicos Islands ;yes
United Arab Emirates ;yes
United States ;yes
Uruguay ;yes
US Virgin Islands ;yes
Viet Nam;yes
Andorra;yes
Liechtenstein;yes
Monaco;no
San Marino;no
Switzerland;yes
Marshall Islands;no
Nauru;no
Niue;no
Palau;no
Vanuatu;no
